Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,-52.16,1.67,15.1
50246,5221,12443,37.0,4.67,96.45
50247,5202,12334,2.67,3.39,50.58
50349,5140,12424,69.51,6.31,102.93
50353,5144,12638,55.78,6.09,278.32
50425,5015,12011,41.84,4.6,116.05
50434,5029,12141,-24.94,2.95,25.14
50442,5024,12407,66.79,7.63,222.86
50468,5015,12728,-42.78,2.58,35.68
50514,4935,11719,43.55,3.97,89.24
50527,4915,11942,12.62,3.73,46.59
50548,4912,12343,74.57,8.53,291.15
50557,4909,12514,28.72,5.61,108.24
50564,4925,12720,-8.57,4.29,54.69
50603,4841,11649,48.97,3.41,77.58
50618,4813,11816,-23.98,2.02,10.94
50639,4800,12244,94.38,10.07,216.28
50656,4816,12630,79.2,8.58,177.91
50658,4805,12547,48.32,7.46,103.36
50727,4710,11956,10.96,4.36,42.76
50739,4718,12315,75.51,8.78,212.9
50742,4748,12429,40.15,6.17,83.64
50745,4723,12355,63.76,7.43,113.34
50756,4727,12652,98.46,9.34,280.13
50758,4709,12554,123.8,11.51,260.26
50774,4742,12850,17.67,6.27,77.74
50788,4714,13160,52.87,5.33,221.92
50834,4636,12113,53.52,7.75,174.26
50844,4624,12327,36.52,5.61,53.28
50853,4637,12658,27.13,6.62,93.59
50854,4623,12519,55.98,7.02,121.05
50862,4659,12759,42.88,7.72,94.36
50873,4647,13018,81.07,6.71,185.01
50877,4618,12935,14.96,4.99,68.02
50888,4623,13210,97.84,7.14,341.03
50915,4531,11658,99.7,4.7,69.23
50936,4538,12250,44.95,5.85,89.98
50945,4530,12414,48.26,6.48,122.53
50948,4500,12401,51.69,6.5,194.12
50949,4505,12452,34.06,5.56,118.89
50950,4542,12515,81.25,8.19,181.49
50953,4556,12634,49.94,6.97,66.09
50963,4558,12844,49.62,7.34,145.93
50968,4513,12758,138.28,12.89,536.42
50973,4545,13036,164.42,10.54,657.21
50978,4518,13055,182.37,10.97,398.15
50983,4546,13253,168.93,9.52,225.95
51053,4803,8624,-4.39,0.72,6.14
51060,4742,8652,-74.66,0.17,0.19
51068,4707,8729,102.48,1.31,16.7
51076,4744,8805,8.94,0.87,5.8
51087,4701,8930,20.1,1.02,11.18
51133,4644,8300,-55.32,0.41,1.29
51156,4649,8545,-34.7,0.82,3.59
51232,4511,8233,-9.97,0.49,1.66
51238,4454,8204,16.97,1.02,6.85
51241,4556,8336,51.46,2.08,21.62
51243,4537,8451,94.15,1.48,51.15
51334,4434,8249,-7.95,0.4,1.14
51367,4410,8651,-1.15,0.62,5.07
51469,4327,8711,87.72,4.36,38.31
51470,4353,8807,-1.14,3.14,40.75
51477,4321,8819,1.18,0.69,5.17
51526,4214,8813,-29.03,0.34,0.66
51542,4302,8409,35.05,2.96,31.02
51567,4203,8636,-44.29,0.29,0.67
51573,4257,8914,-29.32,0.05,0.06
51628,4107,8023,-91.61,0.04,0.01
51639,4115,8246,-59.36,0.14,0.29
51656,4144,8549,-90.13,0.04,0.03
51704,3944,7613,79.46,0.68,3.39
51705,3943,7515,46.69,1.35,5.24
51709,3929,7545,26.68,0.38,1.06
51720,4030,7903,87.71,1.4,27.56
51730,4033,8116,-25.26,0.28,0.72
51747,3900,8340,-100.0,0.0,0.0
51765,4038,8742,159.83,0.77,5.8
51810,3855,7738,-76.81,0.08,0.14
51811,3826,7716,-45.92,0.17,0.22
51818,3737,7817,5.0,0.33,0.73
51828,3708,7956,-76.02,0.05,0.02
51839,3704,8234,-84.17,0.05,0.03
51855,3809,8533,-59.32,0.1,0.24
51931,3651,8139,-90.28,0.03,0.02
52101,4336,9303,-38.61,0.93,9.05
52112,4345,9459,24.83,0.16,0.35
52118,4316,9442,-49.32,0.45,0.96
52203,4249,9331,-91.91,0.02,0.01
52313,4132,9440,-74.08,0.11,0.08
52323,4148,9702,-92.43,0.05,0.02
52533,3946,9829,-62.01,0.25,0.88
52546,3922,9950,-63.15,0.29,0.8
52602,3845,9320,-53.29,0.07,0.07
52652,3905,10017,-73.69,0.24,0.42
52674,3813,10156,-67.95,0.45,1.55
52679,3753,10252,-76.16,0.24,0.53
52681,3838,10305,-50.86,0.37,1.67
52707,3648,9341,-22.26,0.18,0.12
52787,3712,10252,-37.62,1.78,21.16
52797,3711,10403,-51.81,0.6,3.68
52818,3625,9454,2.44,0.38,0.97
52825,3626,9626,-15.65,0.31,0.79
52836,3618,9806,24.48,1.91,22.4
52856,3616,10037,10.26,2.61,16.77
52866,3640,10144,-3.97,2.51,35.88
52868,3601,10122,24.66,2.05,20.18
52876,3620,10250,-38.81,1.31,11.06
52884,3621,10357,-12.39,1.55,18.63
52895,3634,10441,-2.86,1.42,16.62
52908,3513,9305,92.55,4.29,45.97
52943,3535,9960,5.43,2.92,25.16
52955,3535,10044,47.25,4.45,47.24
52974,3533,10202,6.53,2.83,22.41
52983,3552,10409,-38.9,1.49,13.79
52984,3535,10311,15.69,3.64,183.73
52986,3522,10352,25.56,4.2,102.32
52996,3523,10500,-68.45,0.96,5.83
53068,4338,11156,-69.74,0.35,1.44
53083,4437,11409,-49.48,1.01,9.2
53149,4232,11008,-81.68,0.26,0.33
53192,4401,11500,-24.34,1.65,7.88
53231,4124,10624,-100.0,0.0,0.0
53336,4134,10831,-27.33,1.3,10.0
53352,4142,11026,-52.53,1.05,4.36
53362,4133,11139,-31.08,1.67,12.09
53391,4154,11400,4.85,2.99,33.85
53399,4109,11442,-29.46,2.22,10.5
53446,4032,10953,-33.29,1.54,26.05
53463,4051,11134,-43.52,1.91,25.34
53478,4000,11228,23.71,4.12,81.83
53480,4102,11304,48.54,4.74,77.5
53487,4005,11325,41.09,4.44,103.74
53490,4026,11404,-12.49,3.0,23.36
53513,4044,10722,-71.09,0.29,1.08
53519,3912,10646,1.07,1.42,34.31
53529,3905,10758,-32.83,1.35,18.99
53543,3949,11001,-34.06,2.04,23.2
53564,3922,11113,42.78,4.76,226.63
53578,3922,11226,28.02,4.37,130.02
53588,3856,11331,-25.55,4.45,37.35
53593,3950,11434,18.96,4.12,148.36
53594,3927,11413,-9.52,3.18,36.41
53612,3759,10611,-71.06,0.35,2.82
53614,3828,10612,-53.41,0.63,5.78
53615,3848,10642,-85.52,0.19,0.61
53646,3816,10947,-34.84,2.03,37.87
53651,3849,11028,55.25,5.62,626.45
53663,3856,11149,-22.29,2.76,110.07
53664,3828,11108,-49.12,1.91,24.92
53673,3844,11243,-17.57,2.85,58.1
53687,3747,11338,-49.18,1.95,47.74
53704,3732,10511,-75.05,0.28,1.1
53705,3729,10541,-76.7,0.3,0.81
53723,3748,10715,-54.63,0.87,12.68
53725,3735,10735,-38.64,1.3,31.77
53735,3737,10848,19.05,2.72,53.15
53738,3655,10810,-88.62,0.37,0.81
53740,3756,10914,-47.12,1.43,11.52
53754,3730,11013,-86.04,0.48,1.82
53764,3730,11107,-56.2,1.61,33.61
53772,3737,11235,-47.73,1.9,28.1
53775,3725,11236,-75.81,0.79,6.15
53787,3704,11259,-31.14,3.22,30.58
53798,3711,11422,-30.83,3.48,92.71
53806,3634,10539,-64.07,0.88,5.13
53810,3658,10554,8.77,1.87,40.83
53817,3602,10614,-23.99,2.24,28.12
53821,3634,10718,-83.62,0.49,1.7
