Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,15.58,2.42,25.96
50246,5221,12443,15.05,3.09,29.06
50247,5202,12334,14.73,3.03,55.1
50349,5140,12424,13.16,3.65,272.45
50353,5144,12638,11.35,4.02,161.34
50425,5015,12011,7.81,5.25,154.47
50434,5029,12141,3.39,7.89,264.02
50442,5024,12407,8.58,5.16,311.66
50468,5015,12728,12.72,3.25,68.95
50514,4935,11719,13.61,3.59,49.66
50527,4915,11942,11.65,4.13,111.3
50548,4912,12343,13.88,2.98,127.15
50557,4909,12514,16.02,2.03,43.49
50564,4925,12720,14.51,2.39,48.32
50603,4841,11649,11.39,4.05,127.88
50618,4813,11816,19.45,2.44,55.89
50639,4800,12244,15.64,1.76,15.75
50656,4816,12630,9.25,4.98,187.99
50658,4805,12547,15.12,2.35,34.67
50727,4710,11956,18.3,2.11,18.56
50739,4718,12315,16.74,1.8,60.85
50742,4748,12429,15.81,2.59,72.46
50745,4723,12355,14.11,3.11,154.25
50756,4727,12652,13.39,2.58,38.32
50758,4709,12554,16.09,1.3,27.66
50774,4742,12850,5.93,6.76,91.96
50788,4714,13160,8.22,5.22,172.24
50834,4636,12113,15.13,2.78,31.91
50844,4624,12327,14.18,3.23,98.24
50853,4637,12658,15.24,1.66,8.09
50854,4623,12519,16.77,2.27,52.17
50862,4659,12759,11.03,3.67,33.41
50873,4647,13018,6.92,6.2,173.9
50877,4618,12935,11.13,3.73,95.15
50888,4623,13210,8.38,5.41,132.62
50915,4531,11658,27.24,1.48,9.99
50936,4538,12250,9.12,4.67,216.42
50945,4530,12414,14.78,2.87,39.24
50948,4500,12401,10.95,4.26,110.15
50949,4505,12452,17.5,2.19,44.0
50950,4542,12515,14.31,3.01,68.05
50953,4556,12634,10.14,4.39,113.94
50963,4558,12844,7.21,5.96,156.55
50968,4513,12758,7.2,6.1,106.93
50973,4545,13036,13.07,3.15,33.67
50978,4518,13055,12.17,3.47,43.36
50983,4546,13253,9.56,4.51,165.85
51053,4803,8624,56.96,0.66,3.46
51060,4742,8652,61.89,0.55,1.51
51068,4707,8729,43.42,0.4,3.05
51076,4744,8805,8.9,0.16,0.22
51087,4701,8930,5.55,0.13,0.12
51133,4644,8300,64.16,0.97,11.76
51156,4649,8545,54.17,1.11,8.9
51232,4511,8233,5.31,0.15,0.14
51238,4454,8204,30.0,0.37,1.15
51241,4556,8336,44.69,1.21,7.08
51243,4537,8451,67.78,0.58,3.58
51334,4434,8249,12.82,0.14,0.35
51367,4410,8651,66.22,0.75,7.76
51469,4327,8711,28.13,1.96,7.4
51470,4353,8807,14.75,3.39,68.75
51477,4321,8819,71.12,0.91,6.89
51526,4214,8813,7.2,0.19,0.3
51542,4302,8409,19.62,2.43,20.94
51567,4203,8636,2.65,0.09,0.09
51573,4257,8914,0.0,0.04,0.02
51628,4107,8023,82.67,0.66,3.33
51639,4115,8246,10.71,0.16,0.21
51656,4144,8549,5.01,0.12,0.07
51704,3944,7613,43.5,0.57,3.23
51705,3943,7515,40.23,1.3,6.28
51709,3929,7545,4.82,0.15,0.22
51720,4030,7903,37.41,1.66,17.79
51730,4033,8116,11.11,0.15,0.21
51747,3900,8340,0.0,0.0,0.0
51765,4038,8742,3.09,0.23,1.28
51810,3855,7738,5.67,0.16,0.32
51811,3826,7716,28.31,0.22,0.93
51818,3737,7817,44.51,0.38,3.46
51828,3708,7956,0.0,0.02,0.01
51839,3704,8234,0.0,0.06,0.05
51855,3809,8533,0.0,0.03,0.03
51931,3651,8139,0.02,0.16,0.26
52101,4336,9303,18.24,0.45,1.55
52112,4345,9459,0.0,0.05,0.07
52118,4316,9442,20.54,0.35,0.86
52203,4249,9331,0.01,0.03,0.01
52313,4132,9440,34.96,0.3,1.34
52323,4148,9702,54.78,0.51,5.53
52533,3946,9829,8.64,0.19,0.56
52546,3922,9950,53.72,1.04,8.17
52602,3845,9320,0.0,0.0,0.0
52652,3905,10017,47.17,1.13,12.86
52674,3813,10156,34.8,1.1,6.95
52679,3753,10252,38.03,1.03,6.18
52681,3838,10305,41.06,0.92,5.93
52707,3648,9341,8.66,0.21,0.57
52787,3712,10252,12.68,3.45,36.3
52797,3711,10403,32.8,1.33,14.34
52818,3625,9454,24.07,0.42,3.78
52825,3626,9626,110.75,0.87,3.71
52836,3618,9806,44.21,1.2,7.68
52856,3616,10037,15.42,3.11,25.18
52866,3640,10144,15.05,2.94,31.91
52868,3601,10122,23.95,2.26,13.4
52876,3620,10250,14.63,3.23,63.88
52884,3621,10357,23.85,2.15,23.31
52895,3634,10441,28.22,1.42,33.01
52908,3513,9305,21.23,2.43,30.17
52943,3535,9960,22.88,1.79,7.36
52955,3535,10044,16.62,2.76,23.84
52974,3533,10202,15.87,3.08,34.89
52983,3552,10409,18.21,2.38,24.3
52984,3535,10311,14.44,2.77,29.37
52986,3522,10352,11.62,3.83,63.95
52996,3523,10500,15.85,2.72,28.7
53068,4338,11156,9.8,3.57,73.13
53083,4437,11409,25.4,1.8,15.8
53149,4232,11008,27.66,2.14,28.99
53192,4401,11500,28.09,1.28,5.57
53231,4124,10624,0.0,0.0,0.0
53336,4134,10831,26.21,1.58,17.36
53352,4142,11026,14.83,3.44,58.3
53362,4133,11139,6.13,5.98,211.41
53391,4154,11400,22.14,2.14,13.79
53399,4109,11442,13.25,3.42,48.37
53446,4032,10953,12.16,4.01,112.3
53463,4051,11134,6.2,6.24,160.38
53478,4000,11228,14.35,2.86,22.41
53480,4102,11304,17.63,2.41,20.11
53487,4005,11325,16.77,2.81,28.04
53490,4026,11404,13.32,3.51,42.41
53513,4044,10722,1.7,6.25,428.28
53519,3912,10646,31.49,1.39,9.3
53529,3905,10758,19.44,2.11,15.48
53543,3949,11001,10.88,4.3,89.28
53564,3922,11113,6.35,6.46,271.05
53578,3922,11226,10.72,4.41,105.16
53588,3856,11331,3.21,10.65,468.49
53593,3950,11434,10.21,4.42,98.07
53594,3927,11413,9.06,5.06,91.56
53612,3759,10611,29.08,1.01,9.3
53614,3828,10612,29.4,1.64,28.68
53615,3848,10642,18.23,3.1,42.27
53646,3816,10947,9.3,4.86,110.57
53651,3849,11028,7.94,5.57,172.44
53663,3856,11149,10.66,4.24,86.52
53664,3828,11108,10.36,4.7,71.96
53673,3844,11243,6.2,6.28,149.08
53687,3747,11338,3.93,7.96,263.43
53704,3732,10511,27.76,0.87,7.41
53705,3729,10541,23.67,0.75,10.46
53723,3748,10715,17.26,2.79,30.39
53725,3735,10735,15.54,3.12,33.57
53735,3737,10848,8.75,5.27,129.27
53738,3655,10810,9.19,4.34,71.23
53740,3756,10914,14.11,3.39,50.61
53754,3730,11013,14.61,3.05,66.93
53764,3730,11107,13.23,3.35,51.41
53772,3737,11235,8.88,5.05,129.09
53775,3725,11236,11.46,4.26,68.17
53787,3704,11259,7.29,5.6,133.39
53798,3711,11422,10.18,4.01,89.86
53806,3634,10539,17.52,2.16,24.05
53810,3658,10554,17.5,3.14,69.21
53817,3602,10614,9.28,4.89,76.52
53821,3634,10718,7.82,5.51,195.12
53853,3642,11057,10.0,4.53,118.64
53854,3635,11004,10.9,4.07,66.45
53859,3605,11040,7.54,5.6,218.01
53863,3704,11157,7.33,5.87,122.46
53868,3604,11130,8.51,5.46,196.02
53877,3608,11215,10.27,4.3,74.06
53882,3604,11302,8.6,5.45,79.33
53884,3630,11302,11.54,3.82,48.89
53898,3603,11408,7.65,5.76,216.46
53903,3558,10543,10.4,4.59,71.29
53910,3540,10612,11.53,4.18,36.57
53915,3532,10640,15.8,2.41,22.52
53923,3544,10738,6.58,6.15,160.31
53929,3512,10748,3.91,7.96,356.48
53942,3547,10922,8.51,5.27,125.18
53948,3453,10938,12.36,4.17,86.93
53959,3507,11104,10.55,4.65,116.07
53963,3539,11122,10.12,4.75,68.65
53968,3517,11140,6.02,6.63,248.28
53975,3529,11225,8.09,5.42,100.57
53986,3519,11355,5.3,6.96,507.02
54012,4434,11738,20.27,0.67,2.32
54026,4434,12054,19.48,1.32,15.92
54027,4357,11919,20.6,1.63,23.41
54041,4448,12304,6.67,5.83,380.23
54049,4415,12358,15.93,2.5,42.45
54063,4458,12600,12.64,3.33,42.26
54064,4423,12509,10.75,4.08,65.22
54094,4430,12940,14.41,2.49,40.41
54096,4424,13111,9.86,4.15,73.72
54102,4357,11607,23.83,1.92,11.88
54115,4338,11802,20.17,1.43,7.32
54134,4336,12117,22.41,1.47,21.96
54135,4336,12216,8.07,5.39,345.06
54142,4331,12327,11.9,3.91,50.24
54157,4307,12423,7.94,5.48,124.8
54161,4354,12513,11.18,3.75,56.31
54165,4333,12538,10.13,4.15,121.16
54171,4342,12631,14.23,2.46,50.2
54181,4342,12720,13.48,2.05,25.52
54186,4322,12812,8.11,5.23,189.29
54195,4318,12947,12.56,3.16,123.89
54208,4212,11628,17.09,2.66,36.41
54213,4256,11901,19.97,2.18,36.1
54218,4218,11850,17.9,2.61,39.45
54226,4220,12042,18.19,2.23,24.96
54236,4223,12233,10.78,4.15,45.38
54243,4247,12406,9.47,4.66,76.33
54254,4232,12403,8.43,5.11,138.0
54259,4204,12452,8.8,4.34,55.41
54260,4255,12505,10.77,3.22,35.96
54263,4258,12605,11.35,2.97,101.27
54266,4232,12538,8.88,4.51,106.61
54273,4259,12645,10.94,3.08,35.65
54276,4224,12648,7.56,5.49,114.94
54284,4209,12730,7.12,5.91,184.32
54285,4224,12807,9.75,4.1,150.27
54286,4232,12900,11.31,3.59,92.48
54292,4252,12930,11.89,3.32,144.54
54308,4112,11638,11.54,4.09,74.05
54311,4158,11746,11.81,4.06,61.37
54324,4133,12026,13.71,3.29,53.0
54326,4125,11937,15.34,2.94,38.52
54333,4158,12251,10.65,4.25,103.17
54339,4105,12260,8.89,4.67,90.23
54342,4144,12331,8.32,5.27,110.35
54346,4118,12347,6.47,7.17,862.64
54351,4155,12404,6.55,6.7,230.15
54353,4143,12502,10.06,3.36,68.4
54363,4141,12554,9.77,2.78,34.86
54374,4148,12653,9.83,3.48,111.79
54377,4109,12613,8.67,3.59,60.75
54386,4125,12811,10.58,3.3,48.38
54401,4046,11455,13.9,3.44,65.74
54405,4025,11530,14.57,3.25,64.18
54406,4027,11558,10.37,4.36,85.84
54416,4023,11652,4.49,8.69,333.18
54423,4058,11755,10.92,4.34,78.8
54429,4012,11757,4.81,8.28,351.85
54436,4025,11857,8.44,4.83,49.88
54449,3951,11931,10.79,2.42,29.64
54452,4048,11948,13.3,2.47,17.46
54454,4020,12018,9.29,4.16,118.03
54455,4037,12039,11.03,3.5,169.71
54470,4101,12203,12.22,2.13,29.6
54471,4040,12210,11.14,2.57,57.24
54476,4011,12209,8.19,5.53,178.65
54486,4020,12317,7.11,4.93,326.32
54493,4043,12447,5.9,5.7,143.66
54497,4002,12420,8.37,3.5,51.72
54511,3948,11628,6.0,6.58,235.19
54518,3910,11624,8.44,5.3,114.16
54525,3944,11717,3.56,10.42,312.48
54527,3905,11703,9.89,4.57,164.22
54534,3939,11806,7.51,5.88,148.09
54539,3926,11853,10.6,3.24,64.68
54563,3938,12201,8.16,5.27,143.52
54579,3916,12235,9.05,4.77,156.44
54584,3943,12257,9.19,3.56,98.33
54602,3844,11529,10.31,4.05,95.28
54606,3813,11545,9.04,4.72,168.11
54618,3805,11633,9.16,5.13,182.51
54623,3903,11743,9.65,4.16,78.91
54624,3824,11719,9.73,4.32,101.28
54662,3854,12138,9.28,4.58,149.66
54705,3722,11523,13.25,3.15,92.65
54715,3719,11631,12.85,1.48,33.69
54725,3730,11732,10.76,3.76,147.19
54727,3639,11731,9.78,4.24,111.26
54744,3735,11833,13.88,1.41,11.09
54751,3756,12044,11.17,3.55,125.72
54753,3738,12020,11.78,2.51,53.18
54764,3729,12114,13.85,3.36,62.94
54776,3724,12242,6.7,6.39,380.35
54808,3613,11538,13.7,1.15,18.04
54823,3636,11700,9.55,3.7,48.85
54826,3615,11706,9.54,1.13,8.45
54836,3611,11810,11.04,2.78,64.78
54842,3647,12000,10.53,3.1,81.24
54843,3645,11912,10.79,3.74,204.43
54857,3604,12020,10.75,3.19,77.84
54863,3647,12111,7.58,5.1,184.88
54909,3505,11531,13.85,0.65,3.59
54916,3534,11651,12.47,0.8,6.54
54929,3516,11758,10.41,2.41,40.69
54936,3534,11850,9.05,3.85,101.1
54945,3528,11933,10.88,2.73,67.38
55228,3230,8005,53.62,0.93,9.72
55248,3209,8425,22.55,2.66,13.94
55299,3129,9204,10.95,3.95,29.04
55437,3017,8115,32.14,0.4,1.52
55493,3029,9106,6.61,5.88,47.16
55569,2905,8736,4.34,6.87,56.01
55598,2916,9146,9.92,4.16,22.87
55655,2811,8558,9.75,3.63,49.71
55664,2838,8705,9.21,4.72,30.6
55680,2855,8936,12.07,3.54,15.71
56004,3413,9226,25.01,1.77,8.94
56018,3253,9517,12.43,3.61,19.83
56021,3408,9549,17.9,2.67,40.1
56029,3300,9658,19.93,1.91,9.66
56033,3455,9813,27.25,1.3,8.07
56034,3348,9708,14.26,3.32,21.33
56038,3259,9806,16.64,2.53,15.06
56043,3429,10014,13.09,3.35,23.98
56046,3345,9939,18.78,2.03,12.52
56065,3444,10136,14.88,2.58,27.16
56067,3326,10129,12.56,3.25,26.21
56074,3400,10205,11.26,4.04,56.67
56079,3335,10258,16.86,1.91,20.04
