Stanum,Lat,Lon,Rain
50136,5258,12231,4.733203100290478
50246,5221,12443,7.848919141882972
50247,5202,12334,5.451556468516282
50349,5140,12424,7.322829551101795
50353,5144,12638,6.54639812713641
50425,5015,12011,3.5238354549950537
50434,5029,12141,5.099668087391145
50442,5024,12407,5.707125490587974
50468,5015,12728,2.9682263936135707
50514,4935,11719,1.3561307349176037
50527,4915,11942,3.1801639390453187
50548,4912,12343,5.732486190248509
50557,4909,12514,4.966972430348111
50564,4925,12720,5.271083978470196
50603,4841,11649,1.7801014034871536
50618,4813,11816,1.6386816870037946
50639,4800,12244,3.993588812636631
50656,4816,12630,3.186359613819082
50658,4805,12547,3.8262762230630196
50727,4710,11956,4.53688482477062
50739,4718,12315,4.102720695131935
50742,4748,12429,3.1860590640583153
50745,4723,12355,3.7570267558095347
50756,4727,12652,2.6041256411095666
50758,4709,12554,2.2217480948260273
50774,4742,12850,5.57702517467264
50788,4714,13160,4.227216632164229
50834,4636,12113,5.062745160034343
50844,4624,12327,2.798085387001278
50853,4637,12658,3.7405676358390814
50854,4623,12519,2.00586592094958
50862,4659,12759,7.7972996526057585
50873,4647,13018,10.154377760739527
50877,4618,12935,4.602091747809307
50888,4623,13210,5.99843733857307
50915,4531,11658,3.079417740950667
50936,4538,12250,5.7209401827841235
50945,4530,12414,4.223225929450937
50948,4500,12401,3.042993378568175
50949,4505,12452,1.8690136247850702
50950,4542,12515,2.666577764015998
50953,4556,12634,2.7381836475952332
50963,4558,12844,5.359379144572659
50968,4513,12758,4.942336722832725
50973,4545,13036,4.309875643450583
50978,4518,13055,3.564887085998553
50983,4546,13253,2.4379609703728233
51053,4803,8624,3.4435969593853013
51060,4742,8652,0.4800177853479877
51068,4707,8729,2.03720676689254
51076,4744,8805,0.5368347981859601
51087,4701,8930,0.9241507775277004
51133,4644,8300,0.5581607261785131
51156,4649,8545,1.2244965343814174
51232,4511,8233,2.841445085234742
51238,4454,8204,1.39969319953782
51241,4556,8336,1.5813041290527017
51243,4537,8451,1.2179650921810812
51334,4434,8249,0.9940302132573258
51367,4410,8651,0.6010749951680359
51469,4327,8711,3.935366647483943
51470,4353,8807,3.7414165717790655
51477,4321,8819,1.6535338421322783
51526,4214,8813,0.4213154268973905
51542,4302,8409,1.9448438841186473
51567,4203,8636,1.2719377880575966
51573,4257,8914,0.8934159499621837
51628,4107,8023,1.0300468825087288
51639,4115,8246,0.4968852332505919
51656,4144,8549,1.8211348048444538
51704,3944,7613,0.31525210300849255
51705,3943,7515,0.8248174238920803
51709,3929,7545,0.15778201559339197
51720,4030,7903,3.385123214796763
51730,4033,8116,1.4258552822656064e-33
51747,3900,8340,1.4258552822656064e-33
51765,4038,8742,1.4258552822656064e-33
51810,3855,7738,0.45229705882148624
51811,3826,7716,0.09426011833561178
51818,3737,7817,1.4258552822656064e-33
51828,3708,7956,1.4258552822656064e-33
51839,3704,8234,1.4258552822656064e-33
51855,3809,8533,1.4258552822656064e-33
51931,3651,8139,1.4258552822656064e-33
52101,4336,9303,1.5370993376838953
52112,4345,9459,1.4258552822656064e-33
52118,4316,9442,1.2542254123343644
52203,4249,9331,1.3807909013683084
52313,4132,9440,0.7390889173912615
52323,4148,9702,1.6169067849275578
52533,3946,9829,0.4223067611727032
52546,3922,9950,0.7920836406525431
52602,3845,9320,1.4258552822656064e-33
52652,3905,10017,1.4435982953262234
52674,3813,10156,4.380336056816162
52679,3753,10252,1.8893544136549036
52681,3838,10305,2.702299303773327
52707,3648,9341,0.7400177986851854
52787,3712,10252,3.07250301222826
52797,3711,10403,2.6309752677639455
52818,3625,9454,3.610468310142105
52825,3626,9626,4.2532212839058126
52836,3618,9806,3.268501404406436
52856,3616,10037,2.8737458649229857
52866,3640,10144,3.5968913399541917
52868,3601,10122,6.3005103006495835
52876,3620,10250,4.784427253800478
52884,3621,10357,3.4898114033555414
52895,3634,10441,2.564397548762267
52908,3513,9305,2.942098578685593
52943,3535,9960,4.521974077190361
52955,3535,10044,4.322659986247547
52974,3533,10202,5.427068132503093
52983,3552,10409,4.96485695346992
