Stanum,Lat,Lon,Rain
50136,5258,12231,-49.04521162173166
50246,5221,12443,-42.009671413500755
50247,5202,12334,-26.82645967364404
50349,5140,12424,-38.237136687508894
50353,5144,12638,-43.3046155949684
50425,5015,12011,-9.284245130926777
50434,5029,12141,-17.528146216615053
50442,5024,12407,-24.57213469724209
50468,5015,12728,9.864365392595362
50514,4935,11719,173.15230350650177
50527,4915,11942,-9.667131206847488
50548,4912,12343,-30.64913585719113
50557,4909,12514,71.14102134321558
50564,4925,12720,-49.90567570785486
50603,4841,11649,-51.13382122058674
50618,4813,11816,40.93100394096829
50639,4800,12244,110.61810831833587
50656,4816,12630,63.06383059140364
50658,4805,12547,-17.255843005768668
50727,4710,11956,68.09518510096643
50739,4718,12315,10.588532490655878
50742,4748,12429,-17.129939526369487
50745,4723,12355,31.084965039623704
50756,4727,12652,13.765068921993645
50758,4709,12554,-33.87974018100081
50774,4742,12850,-36.27909389608577
50788,4714,13160,-72.83406227225355
50834,4636,12113,-29.817058838124584
50844,4624,12327,5.571192681932103
50853,4637,12658,-58.83686735721514
50854,4623,12519,-9.922203872199567
50862,4659,12759,-8.234557053014248
50873,4647,13018,-48.48967271458526
50877,4618,12935,-50.54534014439144
50888,4623,13210,-20.51900828542793
50915,4531,11658,-45.864282750929874
50936,4538,12250,1.8391588312550926
50945,4530,12414,-54.406684968913375
50948,4500,12401,-59.74443646350993
50949,4505,12452,-7.374349477390821
50950,4542,12515,-20.891175819747946
50953,4556,12634,-46.58557510800924
50963,4558,12844,-57.90178973557081
50968,4513,12758,-73.7784263146199
50973,4545,13036,-74.48145219326439
50978,4518,13055,-55.45069669554054
50983,4546,13253,-36.622861491486454
51053,4803,8624,-9.872876501325841
51060,4742,8652,58.00600973739013
51068,4707,8729,-44.16679939398533
51076,4744,8805,55.54743261625337
51087,4701,8930,-49.439564203309835
51133,4644,8300,-88.16228564876015
51156,4649,8545,-55.06539133635804
51232,4511,8233,-48.95946717550936
51238,4454,8204,-63.93441550262003
51241,4556,8336,-57.07874061933118
51243,4537,8451,-35.85453830654862
51334,4434,8249,-60.181796484727926
51367,4410,8651,-65.12059819521302
51469,4327,8711,12.361924484394565
51470,4353,8807,-62.47924559953748
51477,4321,8819,-98.52125271689039
51526,4214,8813,-35.18391320423787
51542,4302,8409,21.035482677173555
51567,4203,8636,92.41034741921038
51573,4257,8914,-67.68864135132738
51628,4107,8023,-71.24379500688126
51639,4115,8246,-55.72978312801653
51656,4144,8549,-84.3906254360818
51704,3944,7613,-90.74160145482759
51705,3943,7515,68.54121078153487
51709,3929,7545,-57.03303916933504
51720,4030,7903,-11.663397697232282
51730,4033,8116,-44.0137995381438
51747,3900,8340,-100.0
51765,4038,8742,-90.64472043242179
51810,3855,7738,-94.14649865453802
51811,3826,7716,-93.94690976536415
51818,3737,7817,-68.29710579244835
51828,3708,7956,-93.23091208962451
51839,3704,8234,-92.87049968886187
51855,3809,8533,-85.72384911294381
51931,3651,8139,-59.169412012706466
52101,4336,9303,-24.365065041550622
52112,4345,9459,-100.0
52118,4316,9442,-88.595979383211
52203,4249,9331,-87.18565715850153
52313,4132,9440,-75.73149692040273
52323,4148,9702,-83.40825839910822
52533,3946,9829,-89.49478648037864
52546,3922,9950,-69.83718136187764
52602,3845,9320,-100.0
52652,3905,10017,-23.46892798813103
52674,3813,10156,-22.59683169937744
52679,3753,10252,-12.752177868105841
52681,3838,10305,-40.06824797861962
52707,3648,9341,-79.66797958040726
52787,3712,10252,-49.55020132746037
52797,3711,10403,-55.67753724106549
52818,3625,9454,-97.5981637772131
52825,3626,9626,-99.20835380300616
52836,3618,9806,-92.20422049178298
52856,3616,10037,-24.479864429681303
52866,3640,10144,-3.5883962531265157
52868,3601,10122,-31.597978346526045
52876,3620,10250,-36.84684968912762
52884,3621,10357,-49.87343535376321
52895,3634,10441,-44.16488674399899
52908,3513,9305,-25.675131437598896
52943,3535,9960,-31.308190952711552
52955,3535,10044,-47.57649976561154
52974,3533,10202,-17.151434868593523
52983,3552,10409,-69.33701911295944
52984,3535,10311,-45.11451086815626
52986,3522,10352,-1.3103137256673907
52996,3523,10500,-56.131472695477925
53068,4338,11156,-67.33697489141838
53083,4437,11409,-20.4175661971796
53149,4232,11008,16.615098296176402
53192,4401,11500,-24.964099352178977
53231,4124,10624,-100.0
53336,4134,10831,-69.4761724462078
53352,4142,11026,56.69210845936199
53362,4133,11139,-47.480527215904594
53391,4154,11400,-23.62737999855977
53399,4109,11442,39.11224684434805
53446,4032,10953,-7.143431442302947
53463,4051,11134,-27.692292953842685
53478,4000,11228,-27.08444864502643
53480,4102,11304,-27.905848960190365
53487,4005,11325,53.90626311244022
53490,4026,11404,106.82782086356228
53513,4044,10722,-45.89966734447072
53519,3912,10646,-31.633407584683308
53529,3905,10758,-60.25357816177179
53543,3949,11001,-57.01866020961127
53564,3922,11113,-35.225911984915456
53578,3922,11226,43.24299265765794
53588,3856,11331,-3.9722934670525416
53593,3950,11434,73.69898035672182
53594,3927,11413,13.463080336881658
53612,3759,10611,23.727149180417673
53614,3828,10612,13.275092911101344
53615,3848,10642,-3.10516752348127
53646,3816,10947,-55.10212918830263
53651,3849,11028,-77.70692276480237
53663,3856,11149,-3.5492531833946095
53664,3828,11108,-50.86236284935972
53673,3844,11243,19.545267391781476
53687,3747,11338,89.1674522965046
53704,3732,10511,-41.61866007208447
53705,3729,10541,14.734324253442269
53723,3748,10715,-30.44116742318326
53725,3735,10735,-34.07169537490201
53735,3737,10848,-33.38407091841059
53738,3655,10810,-50.82345909164177
53740,3756,10914,0.7211659729477679
53754,3730,11013,-42.77058469002684
53764,3730,11107,-9.702979751896963
53772,3737,11235,-7.451957642781018
53775,3725,11236,-16.699505802837116
53787,3704,11259,-33.994745144902225
53798,3711,11422,181.94364592763057
53806,3634,10539,-13.387333133395268
53810,3658,10554,-18.30056462003445
53817,3602,10614,13.184693584669166
53821,3634,10718,-32.773339012441895
53853,3642,11057,-58.94021744183002
53854,3635,11004,36.55419559522616
53859,3605,11040,4.255483930027505
53863,3704,11157,-44.94404903446088
53868,3604,11130,-53.81725688461797
53877,3608,11215,23.99587674882748
53882,3604,11302,-27.488541687191383
53884,3630,11302,-21.54057213490814
53898,3603,11408,-4.526686440366074
53903,3558,10543,-51.91258678951962
53910,3540,10612,-28.29711940471374
53915,3532,10640,-40.38608205164568
53923,3544,10738,-76.67301172466249
53929,3512,10748,-52.913510900526326
53942,3547,10922,-79.49675542604963
53948,3453,10938,-17.145378117286548
53959,3507,11104,-40.26295742189092
53963,3539,11122,-13.050582331574809
53968,3517,11140,-35.088071545192044
53975,3529,11225,-37.83561486028368
53986,3519,11355,-26.297407264904816
54012,4434,11738,201.07747138624578
54026,4434,12054,15.401991266292637
54027,4357,11919,-14.780736195640046
54041,4448,12304,-20.521326503809394
54049,4415,12358,-25.44296442471941
54063,4458,12600,-63.968636223489305
54064,4423,12509,-53.923180467520595
54094,4430,12940,-28.85823355208202
54096,4424,13111,-47.27455976388225
54102,4357,11607,-12.305889092612563
54115,4338,11802,35.82020952025759
54134,4336,12117,78.81839202508662
54135,4336,12216,-13.84712084497924
54142,4331,12327,21.49312216730243
54157,4307,12423,-22.257086619302015
54161,4354,12513,4.870970547783729
54165,4333,12538,-71.97574409988005
54171,4342,12631,-14.563455191259585
54181,4342,12720,-76.7753515761686
54186,4322,12812,-14.4285953763101
54195,4318,12947,-14.865398917107974
54208,4212,11628,41.77413687206556
54213,4256,11901,0.13174001723151377
54218,4218,11850,-23.125804740356536
54226,4220,12042,2.095585456990072
54236,4223,12233,6.3706683584974595
