Stanum,Lat,Lon,Rain
50136,5258,12231,1.32
50246,5221,12443,0.99
50247,5202,12334,0.95
50349,5140,12424,1.24
50353,5144,12638,-1.04
50425,5015,12011,0.77
50434,5029,12141,3.21
50442,5024,12407,3.18
50468,5015,12728,1.34
50514,4935,11719,-0.36
50527,4915,11942,-1.43
50548,4912,12343,1.81
50557,4909,12514,2.31
50564,4925,12720,1.76
50603,4841,11649,0.04
50618,4813,11816,-1.13
50639,4800,12244,0.07
50656,4816,12630,3.5
50658,4805,12547,1.15
50727,4710,11956,-0.55
50739,4718,12315,-0.16
50742,4748,12429,2.28
50745,4723,12355,1.36
50756,4727,12652,1.82
50758,4709,12554,1.37
50774,4742,12850,0.17
50788,4714,13160,-0.9
50834,4636,12113,1.26
50844,4624,12327,1.3
50853,4637,12658,1.01
50854,4623,12519,0.73
50862,4659,12759,1.57
50873,4647,13018,-0.34
50877,4618,12935,1.07
50888,4623,13210,-0.87
50915,4531,11658,-0.46
50936,4538,12250,1.76
50945,4530,12414,0.02
50948,4500,12401,1.69
50949,4505,12452,1.35
50950,4542,12515,0.85
50953,4556,12634,-0.64
50963,4558,12844,-0.3
50968,4513,12758,-0.31
50973,4545,13036,-0.9
50978,4518,13055,-0.83
50983,4546,13253,-1.0
51053,4803,8624,-0.16
51060,4742,8652,0.16
51068,4707,8729,-0.32
51076,4744,8805,-0.43
51087,4701,8930,-1.32
51133,4644,8300,-0.13
51156,4649,8545,0.12
51232,4511,8233,-0.31
51238,4454,8204,0.01
51241,4556,8336,-0.2
51243,4537,8451,-0.65
51334,4434,8249,0.07
51367,4410,8651,0.03
51469,4327,8711,0.75
51470,4353,8807,-0.56
51477,4321,8819,-0.38
51526,4214,8813,-0.84
51542,4302,8409,0.15
51567,4203,8636,0.06
51573,4257,8914,0.08
51628,4107,8023,-0.01
51639,4115,8246,0.13
51656,4144,8549,-0.77
51704,3944,7613,0.06
51705,3943,7515,0.75
51709,3929,7545,0.01
51720,4030,7903,-0.16
51730,4033,8116,0.16
51747,3900,8340,-0.22
51765,4038,8742,0.0
51810,3855,7738,0.15
51811,3826,7716,-0.06
51818,3737,7817,-0.02
51828,3708,7956,-0.38
51839,3704,8234,-0.17
51855,3809,8533,-0.27
51931,3651,8139,-0.06
52101,4336,9303,-0.93
52112,4345,9459,-0.16
52118,4316,9442,0.11
52203,4249,9331,0.33
52313,4132,9440,-0.1
52323,4148,9702,-0.17
52533,3946,9829,-0.07
52546,3922,9950,-0.59
52602,3845,9320,-0.1
52652,3905,10017,0.26
52674,3813,10156,-1.06
52679,3753,10252,-1.06
52681,3838,10305,-0.8
52707,3648,9341,0.4
52787,3712,10252,1.01
52797,3711,10403,2.0
52818,3625,9454,-0.09
52825,3626,9626,0.33
52836,3618,9806,0.07
52856,3616,10037,-0.86
52866,3640,10144,-0.48
52868,3601,10122,-0.96
52876,3620,10250,-0.46
52884,3621,10357,-0.65
52895,3634,10441,-1.4
52908,3513,9305,0.34
52943,3535,9960,-0.84
52955,3535,10044,-0.74
52974,3533,10202,-0.83
52983,3552,10409,0.06
52984,3535,10311,-0.17
52986,3522,10352,0.23
52996,3523,10500,-0.85
53068,4338,11156,0.35
53083,4437,11409,0.73
53149,4232,11008,-0.44
53192,4401,11500,3.12
53231,4124,10624,-0.2
53336,4134,10831,-0.25
53352,4142,11026,-0.28
53362,4133,11139,0.65
53391,4154,11400,0.32
53399,4109,11442,1.52
53446,4032,10953,-0.54
53463,4051,11134,-0.35
53478,4000,11228,0.33
53480,4102,11304,-0.62
53487,4005,11325,-0.96
53490,4026,11404,-0.6
53513,4044,10722,-0.93
53519,3912,10646,-0.86
53529,3905,10758,0.09
53543,3949,11001,-0.66
53564,3922,11113,-0.25
53578,3922,11226,0.52
53588,3856,11331,-0.9
53593,3950,11434,0.22
53594,3927,11413,-1.46
53612,3759,10611,-0.7
53614,3828,10612,-0.42
53615,3848,10642,-0.66
53646,3816,10947,-1.17
53651,3849,11028,-0.5
53663,3856,11149,-0.44
53664,3828,11108,-1.29
53673,3844,11243,-1.19
53687,3747,11338,0.67
