Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,-1.0,2.95,43.77
50246,5221,12443,-0.25,1.63,19.08
50247,5202,12334,0.2,0.83,4.07
50349,5140,12424,-0.77,3.61,69.25
50353,5144,12638,0.17,1.85,21.96
50425,5015,12011,0.18,1.37,8.43
50434,5029,12141,0.3,1.7,19.83
50442,5024,12407,-1.24,3.48,51.68
50468,5015,12728,-0.05,2.47,39.27
50514,4935,11719,-0.47,1.5,15.64
50527,4915,11942,-1.38,2.73,54.54
50548,4912,12343,-0.88,3.98,74.67
50557,4909,12514,-0.65,3.05,66.63
50564,4925,12720,1.06,0.91,9.46
50603,4841,11649,0.17,0.83,4.86
50618,4813,11816,-0.1,1.28,14.39
50639,4800,12244,-0.57,4.75,291.81
50656,4816,12630,0.51,1.63,11.74
50658,4805,12547,0.06,2.14,31.8
50727,4710,11956,0.47,1.32,9.91
50739,4718,12315,-0.16,2.1,47.62
50742,4748,12429,1.06,0.55,2.12
50745,4723,12355,0.13,1.52,19.49
50756,4727,12652,-0.19,2.65,78.83
50758,4709,12554,0.67,1.0,17.7
50774,4742,12850,1.76,0.7,6.78
50788,4714,13160,1.17,0.61,2.59
50834,4636,12113,-0.64,2.35,58.41
50844,4624,12327,-0.25,1.55,31.13
50853,4637,12658,1.62,0.38,1.81
50854,4623,12519,0.46,1.22,8.73
50862,4659,12759,1.99,0.17,0.35
50873,4647,13018,1.92,0.35,0.62
50877,4618,12935,1.9,0.46,4.26
50888,4623,13210,1.01,0.77,2.57
50915,4531,11658,0.36,0.78,3.99
50936,4538,12250,0.63,0.51,1.67
50945,4530,12414,0.56,0.97,8.85
50948,4500,12401,0.31,1.14,9.6
50949,4505,12452,0.38,1.21,13.09
50950,4542,12515,-0.37,2.25,135.27
50953,4556,12634,1.66,0.22,0.82
50963,4558,12844,1.92,0.27,1.11
50968,4513,12758,0.91,1.27,11.66
50973,4545,13036,0.35,1.7,29.06
50978,4518,13055,0.29,1.99,59.97
50983,4546,13253,0.2,1.99,25.13
51053,4803,8624,0.64,0.01,0.0
51060,4742,8652,-0.08,0.16,0.36
51068,4707,8729,0.18,0.21,0.48
51076,4744,8805,-0.11,0.24,1.1
51087,4701,8930,0.49,0.1,0.22
51133,4644,8300,-0.3,0.32,1.06
51156,4649,8545,0.45,0.18,0.54
51232,4511,8233,-1.08,0.46,1.17
51238,4454,8204,-0.74,0.55,2.23
51241,4556,8336,0.43,0.27,0.6
51243,4537,8451,0.39,0.12,0.36
51334,4434,8249,-0.26,0.21,0.36
51367,4410,8651,-0.57,0.38,1.39
51469,4327,8711,-1.38,1.41,6.19
51470,4353,8807,-0.61,2.99,55.67
51477,4321,8819,-0.96,0.38,1.67
51526,4214,8813,-1.19,0.3,1.6
51542,4302,8409,0.32,2.44,17.46
51567,4203,8636,-0.72,0.31,0.87
51573,4257,8914,-0.91,0.07,0.08
51628,4107,8023,0.77,0.89,6.96
51639,4115,8246,-0.36,0.16,0.22
51656,4144,8549,-0.29,0.14,0.15
51704,3944,7613,-0.62,0.29,1.17
51705,3943,7515,-1.54,1.04,8.68
51709,3929,7545,-0.84,0.31,1.14
51720,4030,7903,-0.65,0.41,1.32
51730,4033,8116,-0.39,0.5,1.48
51747,3900,8340,-0.22,0.0,0.0
51765,4038,8742,-0.34,0.06,0.11
51810,3855,7738,0.87,0.75,6.03
51811,3826,7716,-0.01,0.62,7.58
51818,3737,7817,-0.72,0.15,0.41
51828,3708,7956,-0.97,0.16,0.2
51839,3704,8234,2.47,0.85,15.0
51855,3809,8533,3.32,0.51,5.61
51931,3651,8139,1.27,0.78,6.32
52101,4336,9303,-1.05,1.26,19.67
52112,4345,9459,-0.24,0.19,0.47
52118,4316,9442,-0.86,0.39,1.55
52203,4249,9331,-0.57,0.23,0.96
52313,4132,9440,0.16,0.03,0.02
52323,4148,9702,0.08,0.16,0.25
52533,3946,9829,-0.38,0.31,0.57
52546,3922,9950,0.41,0.23,0.56
52602,3845,9320,-0.13,0.02,0.01
52652,3905,10017,0.26,0.42,1.67
52674,3813,10156,0.4,0.66,1.55
52679,3753,10252,0.25,0.43,0.65
52681,3838,10305,0.5,0.2,0.38
52707,3648,9341,-0.15,0.27,1.94
52787,3712,10252,-0.04,2.04,12.83
52797,3711,10403,-0.56,1.02,4.31
52818,3625,9454,-0.21,0.12,0.08
52825,3626,9626,0.15,0.08,0.06
52836,3618,9806,-0.09,0.53,1.66
52856,3616,10037,-0.1,2.81,30.58
52866,3640,10144,-1.05,2.68,31.47
52868,3601,10122,0.48,2.77,44.05
52876,3620,10250,-0.27,1.73,12.49
52884,3621,10357,0.16,0.89,4.17
52895,3634,10441,-1.19,1.81,38.16
52908,3513,9305,-0.64,2.55,31.55
52943,3535,9960,-0.02,3.04,19.8
52955,3535,10044,-0.72,3.09,26.27
52974,3533,10202,-0.56,2.15,16.95
52983,3552,10409,-0.87,2.31,16.27
