Stanum,Lat,Lon,Rain
50136,5258,12231,-0.98
50246,5221,12443,-0.05
50247,5202,12334,-0.9
50349,5140,12424,-0.66
50353,5144,12638,-1.33
50425,5015,12011,-1.4
50434,5029,12141,-1.15
50442,5024,12407,-1.06
50468,5015,12728,-2.36
50514,4935,11719,0.65
50527,4915,11942,-1.89
50548,4912,12343,-1.01
50557,4909,12514,-1.98
50564,4925,12720,-1.86
50603,4841,11649,1.16
50618,4813,11816,0.82
50639,4800,12244,-1.94
50656,4816,12630,-2.82
50658,4805,12547,-2.43
50727,4710,11956,-0.46
50739,4718,12315,-1.91
50742,4748,12429,-3.24
50745,4723,12355,-3.25
50756,4727,12652,-2.72
50758,4709,12554,-2.86
50774,4742,12850,-1.95
50788,4714,13160,-0.34
50834,4636,12113,-1.38
50844,4624,12327,-1.52
50853,4637,12658,-2.51
50854,4623,12519,-2.56
50862,4659,12759,-2.38
50873,4647,13018,-2.72
50877,4618,12935,-1.56
50888,4623,13210,-0.92
50915,4531,11658,0.82
50936,4538,12250,0.55
50945,4530,12414,-1.73
50948,4500,12401,-0.37
50949,4505,12452,-0.28
50950,4542,12515,-2.8
50953,4556,12634,-2.1
50963,4558,12844,-2.16
50968,4513,12758,-1.71
50973,4545,13036,-0.5
50978,4518,13055,-1.33
50983,4546,13253,-1.22
51053,4803,8624,1.21
51060,4742,8652,1.03
51068,4707,8729,1.0
51076,4744,8805,0.23
51087,4701,8930,-0.41
51133,4644,8300,0.57
51156,4649,8545,0.34
51232,4511,8233,1.29
51238,4454,8204,0.86
51241,4556,8336,-0.03
51243,4537,8451,1.11
51334,4434,8249,0.98
51367,4410,8651,-0.18
51469,4327,8711,0.31
51470,4353,8807,-0.63
51477,4321,8819,-0.41
51526,4214,8813,-0.88
51542,4302,8409,-0.56
51567,4203,8636,-1.13
51573,4257,8914,-0.33
51628,4107,8023,-1.26
51639,4115,8246,-0.18
51656,4144,8549,-0.34
51704,3944,7613,-0.73
51705,3943,7515,0.56
51709,3929,7545,-0.9
51720,4030,7903,-0.29
51730,4033,8116,0.22
51747,3900,8340,-0.36
51765,4038,8742,-0.5
51810,3855,7738,-0.62
51811,3826,7716,-0.8
51818,3737,7817,-0.66
51828,3708,7956,-0.66
51839,3704,8234,-0.68
51855,3809,8533,-0.57
51931,3651,8139,-0.78
52101,4336,9303,0.03
52112,4345,9459,-0.3
52118,4316,9442,-2.48
52203,4249,9331,-0.75
52313,4132,9440,-1.0
52323,4148,9702,-1.26
52533,3946,9829,-0.27
52546,3922,9950,-0.84
52602,3845,9320,-0.34
52652,3905,10017,-1.07
52674,3813,10156,-1.54
52679,3753,10252,-1.29
52681,3838,10305,-0.93
52707,3648,9341,-0.54
52787,3712,10252,0.1
52797,3711,10403,0.77
52818,3625,9454,-0.84
52825,3626,9626,-1.16
52836,3618,9806,-1.87
52856,3616,10037,1.28
52866,3640,10144,-0.33
52868,3601,10122,0.61
52876,3620,10250,0.57
52884,3621,10357,-0.25
52895,3634,10441,-0.24
52908,3513,9305,1.02
52943,3535,9960,0.57
52955,3535,10044,1.4
52974,3533,10202,0.8
52983,3552,10409,0.16
52984,3535,10311,0.89
52986,3522,10352,0.95
52996,3523,10500,1.07
53068,4338,11156,0.55
53083,4437,11409,-1.4
53149,4232,11008,-0.04
53192,4401,11500,0.82
53231,4124,10624,-0.13
53336,4134,10831,-2.1
53352,4142,11026,-0.87
53362,4133,11139,0.41
53391,4154,11400,0.76
53399,4109,11442,0.73
53446,4032,10953,-1.3
53463,4051,11134,-0.56
53478,4000,11228,-1.71
53480,4102,11304,0.43
53487,4005,11325,-0.24
53490,4026,11404,0.83
53513,4044,10722,-1.38
53519,3912,10646,-1.53
53529,3905,10758,-2.64
53543,3949,11001,-2.73
53564,3922,11113,-2.29
53578,3922,11226,0.91
53588,3856,11331,0.95
53593,3950,11434,0.55
53594,3927,11413,-0.78
53612,3759,10611,-0.99
53614,3828,10612,-1.64
53615,3848,10642,-1.55
53646,3816,10947,-2.07
53651,3849,11028,0.44
53663,3856,11149,0.88
53664,3828,11108,0.92
53673,3844,11243,0.42
53687,3747,11338,1.0
53704,3732,10511,-0.74
53705,3729,10541,-0.48
53723,3748,10715,-2.32
53725,3735,10735,-1.79
53735,3737,10848,-1.76
53738,3655,10810,0.79
53740,3756,10914,-2.19
53754,3730,11013,-2.14
53764,3730,11107,-2.24
53772,3737,11235,-0.5
53775,3725,11236,-2.03
53787,3704,11259,0.81
53798,3711,11422,0.64
53806,3634,10539,-1.25
53810,3658,10554,-1.23
53817,3602,10614,0.01
53821,3634,10718,-1.78
53853,3642,11057,0.8
53854,3635,11004,-0.1
53859,3605,11040,-1.28
53863,3704,11157,-1.1
53868,3604,11130,0.37
53877,3608,11215,0.9
53882,3604,11302,0.79
53884,3630,11302,0.2
53898,3603,11408,0.6
53903,3558,10543,-1.86
53910,3540,10612,0.02
53915,3532,10640,-0.16
53923,3544,10738,0.9
53929,3512,10748,-0.63
53942,3547,10922,0.79
53948,3453,10938,-0.96
53959,3507,11104,0.29
53963,3539,11122,0.9
53968,3517,11140,0.39
53975,3529,11225,-0.34
53986,3519,11355,0.58
54012,4434,11738,0.14
54026,4434,12054,-0.21
54027,4357,11919,0.47
54041,4448,12304,-0.86
54049,4415,12358,0.79
54063,4458,12600,-0.58
54064,4423,12509,-0.83
54094,4430,12940,-1.26
54096,4424,13111,-0.87
54102,4357,11607,0.41
54115,4338,11802,-0.58
54134,4336,12117,0.15
54135,4336,12216,0.46
54142,4331,12327,-0.28
54157,4307,12423,0.82
54161,4354,12513,-0.72
54165,4333,12538,-0.83
54171,4342,12631,0.09
54181,4342,12720,-0.54
54186,4322,12812,-1.27
54195,4318,12947,-1.6
54208,4212,11628,0.17
54213,4256,11901,0.51
54218,4218,11850,0.83
54226,4220,12042,0.27
54236,4223,12233,0.57
54243,4247,12406,0.56
54254,4232,12403,0.77
54259,4204,12452,0.07
54260,4255,12505,0.22
54263,4258,12605,-0.05
54266,4232,12538,0.24
54273,4259,12645,-1.5
54276,4224,12648,-0.87
54284,4209,12730,-0.55
54285,4224,12807,-1.45
54286,4232,12900,-1.07
54292,4252,12930,-1.51
54308,4112,11638,0.86
54311,4158,11746,0.89
54324,4133,12026,-0.14
54326,4125,11937,0.83
54333,4158,12251,0.15
54339,4105,12260,-0.26
54342,4144,12331,-0.4
54346,4118,12347,-0.28
54351,4155,12404,-0.05
54353,4143,12502,-1.07
54363,4141,12554,-1.41
54374,4148,12653,-1.41
54377,4109,12613,-0.67
54386,4125,12811,-1.72
54401,4046,11455,0.67
54405,4025,11530,0.99
54406,4027,11558,0.8
54416,4023,11652,0.31
54423,4058,11755,0.68
54429,4012,11757,-1.09
54436,4025,11857,-0.78
54449,3951,11931,-0.71
54452,4048,11948,-0.64
54454,4020,12018,-0.53
54455,4037,12039,-0.34
54470,4101,12203,-0.49
54471,4040,12210,-0.42
54476,4011,12209,-0.01
54486,4020,12317,-0.23
54493,4043,12447,-1.22
54497,4002,12420,-0.85
54511,3948,11628,-0.52
54518,3910,11624,-0.86
54525,3944,11717,0.49
54527,3905,11703,-2.0
54534,3939,11806,0.42
54539,3926,11853,0.87
54563,3938,12201,0.59
54579,3916,12235,0.94
54584,3943,12257,0.05
54602,3844,11529,0.03
54606,3813,11545,-0.71
54618,3805,11633,-2.7
54623,3903,11743,-1.34
54624,3824,11719,-0.27
54662,3854,12138,0.89
54705,3722,11523,0.74
54715,3719,11631,0.58
54725,3730,11732,0.31
54727,3639,11731,-0.15
54744,3735,11833,0.09
54751,3756,12044,0.6
54753,3738,12020,0.34
54764,3729,12114,1.19
54776,3724,12242,0.45
54808,3613,11538,0.79
54823,3636,11700,0.97
54826,3615,11706,0.88
54836,3611,11810,0.49
54842,3647,12000,0.91
54843,3645,11912,0.88
54857,3604,12020,-0.03
54863,3647,12111,-0.64
54909,3505,11531,0.76
54916,3534,11651,1.05
54929,3516,11758,1.01
54936,3534,11850,0.04
54945,3528,11933,-0.18
55228,3230,8005,-0.44
55248,3209,8425,-0.9
55299,3129,9204,0.84
55437,3017,8115,-0.51
55493,3029,9106,1.2
55569,2905,8736,1.24
55598,2916,9146,0.6
55655,2811,8558,1.56
55664,2838,8705,-0.58
55680,2855,8936,0.53
56004,3413,9226,-0.8
56018,3253,9517,0.86
56021,3408,9549,0.64
56029,3300,9658,-1.0
56033,3455,9813,0.82
56034,3348,9708,0.74
56038,3259,9806,-0.83
56043,3429,10014,-0.56
56046,3345,9939,-0.04
56065,3444,10136,-0.21
56067,3326,10129,0.48
56074,3400,10205,1.33
56079,3335,10258,1.26
56080,3459,10254,-0.09
56093,3426,10401,1.44
56096,3324,10455,0.75
56116,3125,9536,0.31
56125,3212,9628,-0.05
56137,3109,9710,-0.1
56144,3148,9835,1.02
56146,3137,10000,0.46
56151,3256,10045,0.0
56152,3217,10020,0.08
56167,3058,10107,-0.0
56172,3154,10214,0.34
56173,3248,10233,1.26
56178,3060,10221,-0.11
56182,3240,10336,0.86
56187,3045,10352,1.69
56188,3060,10340,1.9
56223,3046,9548,0.84
56227,2952,9546,2.07
56247,3000,9906,0.61
56251,3056,10019,0.5
56257,3000,10016,0.36
56312,2940,9420,0.94
56331,2940,9750,0.95
56357,2903,10018,-1.6
56374,3003,10158,1.34
56385,2931,10320,-1.24
56386,2934,10345,-1.65
56434,2840,9728,1.52
56444,2829,9854,0.54
56459,2756,10117,-0.18
56462,2900,10130,0.22
56475,2839,10231,0.16
56479,2800,10251,0.46
56485,2816,10335,-0.26
56492,2846,10436,0.78
56533,2745,9840,0.71
56543,2751,9945,-0.31
56548,2711,9917,-0.81
56565,2726,10129,-0.97
56571,2754,10216,0.31
56586,2721,10343,-0.01
56643,2552,9851,1.0
56651,2651,10013,-0.65
56664,2638,10116,-0.68
56666,2635,10143,0.56
56671,2639,10215,-0.63
56684,2624,10315,-1.48
56691,2652,10417,0.21
56739,2459,9830,0.18
56748,2507,9911,-0.34
56751,2542,10011,-0.29
56778,2500,10239,0.12
56792,2547,10458,-1.15
56793,2545,10432,-0.87
56856,2426,10052,0.61
56875,2420,10233,-1.21
56886,2432,10346,0.07
56946,2332,9923,-0.24
56951,2353,10007,1.18
56954,2234,9956,0.14
56964,2247,10058,-0.44
56966,2338,10158,0.68
56969,2128,10135,-0.1
56977,2236,10151,1.12
56991,2336,10420,-0.9
57003,3454,10650,0.53
57014,3434,10552,0.49
57025,3431,10723,0.18
57028,3404,10719,0.96
57030,3442,10809,0.61
57034,3419,10814,0.55
57037,3456,10858,0.96
57046,3429,11005,-0.0
57048,3424,10843,0.39
57051,3443,11115,0.38
57052,3453,11027,0.04
57071,3448,11228,-0.52
57083,3442,11340,1.02
57089,3404,11356,-0.03
57091,3448,11418,0.18
57106,3319,10609,1.09
57124,3337,10655,1.08
57127,3304,10702,0.42
57131,3426,10858,-0.15
57134,3331,10759,1.05
57143,3351,10958,0.93
57144,3326,10909,0.82
57154,3332,11054,0.57
57156,3319,11129,-0.6
57178,3306,11229,-0.88
57181,3352,11302,0.67
57193,3347,11431,0.47
57206,3225,10554,-0.67
57211,3250,10615,-0.48
57232,3303,10816,-0.46
57237,3204,10802,1.46
57238,3231,10754,1.39
57245,3242,10903,0.72
57251,3300,11024,1.09
57256,3239,11047,0.64
57259,3202,11046,0.9
57265,3226,11144,0.34
57278,3200,11205,-0.48
57279,3208,11245,-1.15
57285,3221,11324,0.03
57290,3256,11355,1.04
57297,3208,11403,-0.14
57306,3135,10559,-0.66
57313,3153,10647,0.4
57328,3112,10730,-0.52
57343,3154,10932,1.34
57348,3102,10929,-0.75
57355,3103,11021,-0.23
57359,3121,11044,-0.7
57378,3112,11238,-0.58
57381,3137,11320,-0.19
57395,3135,11410,0.73
57399,3108,11457,-0.78
57405,3030,10533,0.08
57411,3045,10608,0.38
57432,3046,10824,-0.63
57439,3017,10856,-0.35
57445,3036,10943,-0.59
57447,3017,10928,-0.67
57458,3009,11104,-1.56
57461,3044,11122,-0.89
57476,3021,11209,-1.35
57482,3054,11357,-0.14
57483,3040,11308,-0.91
57494,3036,11403,-0.97
57502,2943,10542,-0.49
57503,2937,10507,0.27
57512,2958,10616,-0.6
57516,2935,10628,-0.97
57517,2917,10615,-1.05
57520,2950,10704,-1.47
57523,2954,10746,0.38
57536,2931,10846,1.11
57545,2932,10925,0.59
57554,2924,11010,-1.28
57562,2935,11122,-0.5
57573,2953,11254,-0.59
57574,2921,11226,-0.19
57581,2949,11327,-0.72
57583,2955,11358,-0.27
57584,2923,11305,0.52
57598,2902,11435,0.93
57606,2808,10650,-0.1
57608,2810,10526,-0.55
57612,2900,10639,0.35
57625,2832,10727,-0.46
57633,2849,10846,0.17
57642,2841,10939,0.86
57647,2810,10912,0.47
57649,2814,10941,0.22
57655,2828,11024,0.67
57662,2907,11141,-0.36
57669,2823,11113,0.54
57671,2851,11222,0.54
57673,2844,11256,0.65
57679,2813,11312,0.22
57682,2843,11334,1.12
57687,2807,11247,0.3
57696,2823,11446,1.35
57707,2718,10517,-0.67
57710,2748,10624,0.1
57718,2706,10643,0.26
57722,2747,10730,0.94
57729,2714,10753,-0.09
