Stanum,Lat,Lon,Rain,Mean,Var
50136,5258,12231,1.91,1.16,4.56
50246,5221,12443,0.5,3.43,28.34
50247,5202,12334,1.36,2.22,15.37
50349,5140,12424,0.86,3.45,31.72
50353,5144,12638,1.19,2.16,17.13
50425,5015,12011,0.19,3.01,39.89
50434,5029,12141,0.88,2.58,28.75
50442,5024,12407,-0.28,5.95,112.12
50468,5015,12728,-0.11,4.58,88.87
50514,4935,11719,1.27,1.16,8.96
50527,4915,11942,0.65,2.48,30.79
50548,4912,12343,1.31,2.38,27.33
50557,4909,12514,0.63,3.1,28.92
50564,4925,12720,0.94,3.01,26.93
50603,4841,11649,1.05,0.97,4.4
50618,4813,11816,0.82,1.72,28.92
50639,4800,12244,1.27,2.23,25.28
50656,4816,12630,1.44,1.83,13.09
50658,4805,12547,1.26,2.25,24.73
50727,4710,11956,0.49,3.0,45.51
50739,4718,12315,1.35,2.15,20.86
50742,4748,12429,0.42,3.61,61.36
50745,4723,12355,1.2,2.16,20.04
50756,4727,12652,0.3,3.88,51.85
50758,4709,12554,0.69,3.42,62.61
50774,4742,12850,-0.65,6.41,249.11
50788,4714,13160,0.06,3.55,32.52
50834,4636,12113,0.34,4.06,83.35
50844,4624,12327,1.01,1.94,26.33
50853,4637,12658,1.04,3.46,56.55
50854,4623,12519,0.86,2.92,19.94
50862,4659,12759,0.23,4.83,87.47
50873,4647,13018,1.07,1.95,15.06
50877,4618,12935,-0.86,5.86,194.49
50888,4623,13210,1.06,2.15,58.25
50915,4531,11658,0.9,0.99,10.46
50936,4538,12250,1.2,1.61,28.97
50945,4530,12414,1.25,2.45,41.82
50948,4500,12401,1.28,1.85,25.71
50949,4505,12452,1.48,1.53,7.51
50950,4542,12515,1.28,2.17,24.19
50953,4556,12634,0.0,4.57,175.75
50963,4558,12844,0.3,4.17,82.79
50968,4513,12758,0.21,4.77,110.61
50973,4545,13036,0.31,3.33,49.45
50978,4518,13055,1.32,1.42,13.43
50983,4546,13253,-0.77,4.64,76.03
51053,4803,8624,0.97,0.76,6.25
51060,4742,8652,-1.28,0.24,0.51
51068,4707,8729,-1.95,0.07,0.05
51076,4744,8805,-1.26,0.23,0.76
51087,4701,8930,0.7,1.35,21.49
51133,4644,8300,1.12,0.75,3.2
51156,4649,8545,-3.02,0.02,0.01
51232,4511,8233,-1.54,0.13,0.12
51238,4454,8204,-1.23,0.31,1.05
51241,4556,8336,0.23,0.58,2.46
51243,4537,8451,-0.88,0.22,1.32
51334,4434,8249,1.09,0.53,1.74
51367,4410,8651,0.61,0.59,3.46
51469,4327,8711,1.27,1.63,7.91
51470,4353,8807,0.99,1.56,12.84
51477,4321,8819,-0.3,0.34,1.15
51526,4214,8813,-0.86,0.24,0.58
51542,4302,8409,-0.16,2.26,38.33
51567,4203,8636,-0.47,0.19,0.47
51573,4257,8914,-0.19,0.01,0.0
51628,4107,8023,0.52,0.34,0.9
51639,4115,8246,0.27,0.32,0.62
51656,4144,8549,-1.38,0.06,0.05
51704,3944,7613,-0.84,0.13,0.34
51705,3943,7515,-1.16,0.21,0.75
51709,3929,7545,-0.74,0.01,0.0
51720,4030,7903,-0.2,0.31,0.65
51730,4033,8116,-0.92,0.15,0.24
51747,3900,8340,-0.2,0.12,0.33
51765,4038,8742,-0.72,0.04,0.02
51810,3855,7738,-0.83,0.1,0.23
51811,3826,7716,-0.08,0.23,1.03
51818,3737,7817,-0.72,0.01,0.0
51828,3708,7956,-0.58,0.04,0.03
51839,3704,8234,-0.75,0.05,0.05
51855,3809,8533,-0.64,0.02,0.01
51931,3651,8139,-0.83,0.03,0.01
52101,4336,9303,0.74,0.78,5.66
52112,4345,9459,-0.45,0.02,0.01
52118,4316,9442,0.43,1.21,13.75
52203,4249,9331,-0.85,0.08,0.08
52313,4132,9440,-0.81,0.18,0.38
52323,4148,9702,0.37,0.46,2.08
52533,3946,9829,-1.56,0.18,0.3
52546,3922,9950,-0.49,0.38,0.95
52602,3845,9320,-0.47,0.08,0.13
52652,3905,10017,0.38,0.55,1.74
52674,3813,10156,-0.3,1.91,21.12
52679,3753,10252,0.82,1.07,8.25
52681,3838,10305,1.11,1.04,10.21
52707,3648,9341,0.04,0.29,0.67
52787,3712,10252,-1.1,3.98,43.25
52797,3711,10403,-2.06,3.08,40.1
52818,3625,9454,1.37,0.6,3.61
52825,3626,9626,1.48,0.83,3.37
52836,3618,9806,0.43,1.87,17.73
52856,3616,10037,0.38,2.12,10.5
52866,3640,10144,-0.84,3.28,47.98
52868,3601,10122,-2.25,2.64,33.58
52876,3620,10250,-1.1,3.12,65.19
52884,3621,10357,-1.96,3.39,34.81
52895,3634,10441,-0.13,2.07,14.97
52908,3513,9305,0.3,2.29,15.18
52943,3535,9960,-0.35,3.05,17.61
52955,3535,10044,0.02,2.99,32.84
52974,3533,10202,0.6,2.21,30.02
52983,3552,10409,0.24,2.45,26.42
52984,3535,10311,-1.15,4.58,86.68
52986,3522,10352,0.43,2.86,38.1
52996,3523,10500,-0.44,3.56,44.18
53068,4338,11156,1.03,1.02,7.21
53083,4437,11409,0.66,1.51,19.92
53149,4232,11008,0.68,1.16,14.68
53192,4401,11500,1.04,1.22,5.37
53231,4124,10624,-0.19,0.0,0.0
53336,4134,10831,0.77,1.22,12.96
53352,4142,11026,0.35,1.88,30.79
53362,4133,11139,0.17,2.48,35.37
53391,4154,11400,-1.48,4.8,149.52
53399,4109,11442,0.6,2.58,26.2
53446,4032,10953,-0.88,3.56,86.09
53463,4051,11134,-0.62,4.28,89.16
53478,4000,11228,0.09,3.28,39.6
53480,4102,11304,0.55,2.64,36.32
53487,4005,11325,0.25,2.91,42.38
53490,4026,11404,0.43,2.77,36.43
53513,4044,10722,1.01,1.18,10.05
53519,3912,10646,-0.58,2.48,49.44
53529,3905,10758,0.74,1.75,9.82
53543,3949,11001,0.53,2.31,28.12
53564,3922,11113,0.05,3.36,49.3
53578,3922,11226,-0.86,4.54,82.29
53588,3856,11331,1.77,2.56,34.04
53593,3950,11434,-0.97,4.57,85.69
53594,3927,11413,-0.05,3.46,86.6
