Stanum,Lat,Lon,Rain
50136,5258,12231,13.041956418277106
50246,5221,12443,26.40860814904543
50247,5202,12334,25.736767608672533
50349,5140,12424,-9.243546305678144
50353,5144,12638,-18.044193420742644
50425,5015,12011,53.74794826867013
50434,5029,12141,-4.607760726630905
50442,5024,12407,66.74462024707945
50468,5015,12728,45.5314867416516
50514,4935,11719,69.11441091509806
50527,4915,11942,10.77949837565003
50548,4912,12343,-7.901518177713056
50557,4909,12514,-14.729827709415616
50564,4925,12720,113.49737035704072
50603,4841,11649,18.911414112246504
50618,4813,11816,106.79321580953349
50639,4800,12244,55.05804767021193
50656,4816,12630,75.12672324616645
50658,4805,12547,-4.159146128478923
50727,4710,11956,97.78329424245501
50739,4718,12315,-1.2262677538090838
50742,4748,12429,6.270974436387171
50745,4723,12355,51.64351038975853
50756,4727,12652,111.5899209928508
50758,4709,12554,77.51748920830417
50774,4742,12850,33.60482714630868
50788,4714,13160,12.653479656808212
50834,4636,12113,17.268254418574998
50844,4624,12327,54.97416686800515
50853,4637,12658,3.002719848496401
50854,4623,12519,-52.93981377338459
50862,4659,12759,41.48556708325079
50873,4647,13018,0.758215459625512
50877,4618,12935,-1.5117693129801189
50888,4623,13210,-17.867979735028108
50915,4531,11658,-15.398065450528698
50936,4538,12250,-33.78632591712737
50945,4530,12414,-39.455568932351795
50948,4500,12401,46.65357908335837
50949,4505,12452,23.744172165913938
50950,4542,12515,14.954159362090566
50953,4556,12634,3.709236097586907
50963,4558,12844,11.530231099906999
50968,4513,12758,43.183641302274864
50973,4545,13036,-10.057909431136986
50978,4518,13055,23.37936306316587
50983,4546,13253,20.880475505041915
51053,4803,8624,98.30805317537545
51060,4742,8652,-34.88370160317121
51068,4707,8729,-4.083349420414536
51076,4744,8805,6.740566808382015
51087,4701,8930,-59.70410587011741
51133,4644,8300,337.8855970354129
51156,4649,8545,-15.261809645264353
51232,4511,8233,11.268079041599039
51238,4454,8204,101.44741872165581
51241,4556,8336,97.86046268341457
51243,4537,8451,130.7906248794355
51334,4434,8249,-7.261500442004176
51367,4410,8651,11.002211373392242
