Stanum,Lat,Lon,Rain
50136,5258,12231,-0.89
50246,5221,12443,1.58
50247,5202,12334,1.66
50349,5140,12424,-0.42
50353,5144,12638,-0.4
50425,5015,12011,-0.11
50434,5029,12141,0.03
50442,5024,12407,-0.72
50468,5015,12728,-1.31
50514,4935,11719,0.12
50527,4915,11942,0.83
50548,4912,12343,0.61
50557,4909,12514,-0.34
50564,4925,12720,-0.49
50603,4841,11649,0.31
50618,4813,11816,0.39
50639,4800,12244,0.39
50656,4816,12630,0.44
50658,4805,12547,-0.15
50727,4710,11956,-0.65
50739,4718,12315,-0.41
50742,4748,12429,0.33
50745,4723,12355,-0.66
50756,4727,12652,-1.22
50758,4709,12554,-1.1
50774,4742,12850,-0.1
50788,4714,13160,-1.0
50834,4636,12113,-0.39
50844,4624,12327,-1.09
50853,4637,12658,0.26
50854,4623,12519,-0.19
50862,4659,12759,-0.93
50873,4647,13018,-1.06
50877,4618,12935,-1.1
50888,4623,13210,1.55
50915,4531,11658,0.0
50936,4538,12250,-0.39
50945,4530,12414,2.3
50948,4500,12401,0.37
50949,4505,12452,-0.53
50950,4542,12515,-0.84
50953,4556,12634,0.49
50963,4558,12844,1.38
50968,4513,12758,-0.99
50973,4545,13036,-1.22
50978,4518,13055,-0.85
50983,4546,13253,-0.92
51053,4803,8624,0.65
51060,4742,8652,-0.09
51068,4707,8729,0.82
51076,4744,8805,0.58
51087,4701,8930,0.1
51133,4644,8300,0.43
51156,4649,8545,-0.23
51232,4511,8233,0.77
51238,4454,8204,-0.71
51241,4556,8336,0.1
51243,4537,8451,-0.74
51334,4434,8249,0.28
51367,4410,8651,0.16
51469,4327,8711,-0.19
51470,4353,8807,-0.54
51477,4321,8819,-1.0
51526,4214,8813,-0.12
51542,4302,8409,2.04
51567,4203,8636,-0.38
51573,4257,8914,0.19
51628,4107,8023,1.58
51639,4115,8246,-0.2
51656,4144,8549,1.24
51704,3944,7613,2.6
51705,3943,7515,1.95
51709,3929,7545,1.12
51720,4030,7903,2.6
51730,4033,8116,1.87
51747,3900,8340,0.65
51765,4038,8742,-0.03
51810,3855,7738,2.84
51811,3826,7716,3.87
51818,3737,7817,-0.55
51828,3708,7956,-0.36
51839,3704,8234,-0.13
51855,3809,8533,-0.3
51931,3651,8139,-0.39
52101,4336,9303,0.28
52112,4345,9459,-0.03
52118,4316,9442,0.38
52203,4249,9331,0.07
52313,4132,9440,0.33
52323,4148,9702,0.76
52533,3946,9829,-1.03
52546,3922,9950,-1.05
52602,3845,9320,-0.44
52652,3905,10017,-0.56
52674,3813,10156,-0.47
52679,3753,10252,-0.25
52681,3838,10305,2.62
52707,3648,9341,-0.43
52787,3712,10252,0.97
52797,3711,10403,-1.1
52818,3625,9454,-1.18
52825,3626,9626,-0.97
52836,3618,9806,-0.32
52856,3616,10037,-0.56
52866,3640,10144,5.34
52868,3601,10122,0.25
52876,3620,10250,0.38
52884,3621,10357,-1.54
52895,3634,10441,-0.92
52908,3513,9305,1.7
52943,3535,9960,0.73
52955,3535,10044,-0.27
52974,3533,10202,1.29
52983,3552,10409,4.63
52984,3535,10311,1.4
52986,3522,10352,-0.74
52996,3523,10500,-0.64
53068,4338,11156,0.02
53083,4437,11409,-1.15
53149,4232,11008,0.14
53192,4401,11500,-0.56
53231,4124,10624,1.23
53336,4134,10831,-0.45
53352,4142,11026,0.48
53362,4133,11139,-0.66
53391,4154,11400,0.84
53399,4109,11442,-1.32
53446,4032,10953,-1.32
53463,4051,11134,-0.96
53478,4000,11228,4.61
53480,4102,11304,-1.22
53487,4005,11325,4.58
53490,4026,11404,3.9
53513,4044,10722,-0.78
53519,3912,10646,0.59
53529,3905,10758,1.19
53543,3949,11001,2.6
53564,3922,11113,2.46
53578,3922,11226,3.19
53588,3856,11331,1.71
53593,3950,11434,0.84
53594,3927,11413,2.8
53612,3759,10611,-0.14
53614,3828,10612,-0.64
53615,3848,10642,-0.48
53646,3816,10947,-0.37
53651,3849,11028,-1.07
53663,3856,11149,4.71
53664,3828,11108,2.93
53673,3844,11243,1.98
53687,3747,11338,2.49
53704,3732,10511,0.0
53705,3729,10541,-0.16
53723,3748,10715,0.37
53725,3735,10735,-0.55
53735,3737,10848,0.79
53738,3655,10810,-0.52
53740,3756,10914,-1.3
53754,3730,11013,2.94
53764,3730,11107,1.42
53772,3737,11235,-0.75
53775,3725,11236,-0.41
53787,3704,11259,-0.54
53798,3711,11422,-0.75
53806,3634,10539,0.84
53810,3658,10554,-0.29
53817,3602,10614,-0.84
53821,3634,10718,-0.51
53853,3642,11057,-0.75
53854,3635,11004,-0.63
53859,3605,11040,-0.35
53863,3704,11157,-0.7
