Stanum,Lat,Lon,Rain
50136,5258,12231,0.04
50246,5221,12443,1.07
50247,5202,12334,1.16
50349,5140,12424,1.04
50353,5144,12638,-0.13
50425,5015,12011,0.82
50434,5029,12141,1.24
50442,5024,12407,0.83
50468,5015,12728,0.96
50514,4935,11719,-0.2
50527,4915,11942,0.8
50548,4912,12343,0.62
50557,4909,12514,1.07
50564,4925,12720,1.3
50603,4841,11649,0.81
50618,4813,11816,0.85
50639,4800,12244,0.22
50656,4816,12630,0.17
50658,4805,12547,0.47
50727,4710,11956,1.33
50739,4718,12315,0.82
50742,4748,12429,-0.69
50745,4723,12355,1.13
50756,4727,12652,0.42
50758,4709,12554,0.66
50774,4742,12850,1.34
50788,4714,13160,-0.15
50834,4636,12113,0.91
50844,4624,12327,1.09
50853,4637,12658,1.11
50854,4623,12519,1.06
50862,4659,12759,1.37
50873,4647,13018,0.86
50877,4618,12935,0.97
50888,4623,13210,0.99
50915,4531,11658,-0.12
50936,4538,12250,1.1
50945,4530,12414,0.78
50948,4500,12401,-0.6
50949,4505,12452,1.12
50950,4542,12515,0.42
50953,4556,12634,0.61
50963,4558,12844,1.11
50968,4513,12758,1.11
50973,4545,13036,1.19
50978,4518,13055,1.1
50983,4546,13253,0.76
51053,4803,8624,-0.46
51060,4742,8652,0.76
51068,4707,8729,1.1
51076,4744,8805,0.33
51087,4701,8930,1.09
51133,4644,8300,0.47
51156,4649,8545,0.78
51232,4511,8233,-0.34
51238,4454,8204,-0.83
51241,4556,8336,-0.87
51243,4537,8451,1.18
51334,4434,8249,-0.46
51367,4410,8651,0.64
51469,4327,8711,0.75
51470,4353,8807,-1.21
51477,4321,8819,1.16
51526,4214,8813,0.4
51542,4302,8409,0.14
51567,4203,8636,-0.39
51573,4257,8914,-0.27
51628,4107,8023,0.67
51639,4115,8246,-1.02
51656,4144,8549,0.84
51704,3944,7613,1.0
51705,3943,7515,0.89
51709,3929,7545,-0.88
51720,4030,7903,1.02
51730,4033,8116,0.93
51747,3900,8340,-0.36
51765,4038,8742,2.71
51810,3855,7738,1.96
51811,3826,7716,0.67
51818,3737,7817,2.35
51828,3708,7956,2.18
51839,3704,8234,0.27
51855,3809,8533,-0.56
51931,3651,8139,1.55
52101,4336,9303,-1.94
52112,4345,9459,0.48
52118,4316,9442,-0.8
52203,4249,9331,0.84
52313,4132,9440,-0.36
52323,4148,9702,1.35
52533,3946,9829,-0.8
